# realizing labelings found by flag_hitting_bound.py --family perms (CP-SAT); one per line:
# <base> <perm> | <domain of rank 0> ; ... ; <domain of rank n> | i:l pairs (free index off the pole chain, label)
explicit 0,1,2,3 | 3 ; 2 -3 ; 1 -2 -3 ; -1 -2 -3 | 1:2 2:1 3:3 4:-1 5:3 6:-1 7:2 8:3 9:2 10:2 11:2 12:2 13:-2 14:-2 15:-2 16:-2 17:1 18:1 19:1 20:1 21:-2 22:-1 23:-1 24:3 26:3 27:3 28:1 29:3 30:3 31:-1 32:2 33:3 35:3 36:2 38:3 39:2
explicit 0,1,3,2 | 3 ; 2 -3 ; -1 -2 -3 ; 1 -2 -3 | 1:-1 2:3 3:3 4:2 5:2 6:1 7:2 8:3 9:2 10:2 11:-1 12:2 13:1 14:1 15:1 16:1 17:1 18:1 19:-2 20:1 21:1 22:1 23:1 24:1 26:3 27:2 28:-1 29:3 30:2 31:1 32:1 33:1 35:3 36:2 38:3 39:2
explicit 0,2,3,1 | 3 ; 1 -2 -3 ; -1 -2 -3 ; 2 -3 | 1:-1 2:-1 3:3 4:1 5:1 6:1 7:1 8:3 9:3 10:-2 11:-2 12:3 13:2 14:2 15:2 16:-1 17:-1 18:-1 19:-1 20:-1 21:-1 22:2 23:1 24:1 26:3 27:2 28:-1 29:-2 30:3 31:2 32:1 33:1 35:3 36:2 38:-2 39:3
explicit 0,3,2,1 | 3 ; -1 -2 -3 ; 1 -2 -3 ; 2 -3 | 1:1 2:1 3:3 4:-1 5:-1 6:-1 7:-1 8:3 9:3 10:-2 11:-2 12:3 13:2 14:2 15:2 16:1 17:1 18:1 19:1 20:1 21:1 22:2 23:-1 24:-1 26:3 27:2 28:1 29:-2 30:3 31:2 32:-1 33:-1 35:3 36:2 38:-2 39:3
explicit 1,2,3,0 | 2 -3 ; 1 -2 -3 ; -1 -2 -3 ; 3 | 1:-1 2:-2 3:-3 4:3 5:2 6:2 7:1 8:1 9:2 10:-2 11:-2 12:-3 13:3 14:2 15:2 16:3 17:-1 18:-1 19:3 20:-1 21:-1 22:3 23:2 24:2 26:2 27:-3 28:-1 29:-1 30:-3 31:3 32:2 33:2 35:2 36:-3 38:-3 39:-3
explicit 1,3,2,0 | 2 -3 ; -1 -2 -3 ; 1 -2 -3 ; 3 | 1:1 2:-2 3:-3 4:3 5:2 6:2 7:-1 8:-1 9:2 10:-2 11:-2 12:-3 13:3 14:2 15:2 16:3 17:1 18:1 19:3 20:1 21:1 22:3 23:2 24:2 26:2 27:-3 28:1 29:1 30:-3 31:3 32:2 33:2 35:2 36:-3 38:-3 39:-3
explicit 2,3,1,0 | 1 -2 -3 ; -1 -2 -3 ; 2 -3 ; 3 | 1:2 2:-1 3:-3 4:3 5:-2 6:-2 7:-1 8:-2 9:-2 10:-1 11:-1 12:-3 13:2 14:1 15:1 16:3 17:1 18:1 19:2 20:-3 21:-3 22:3 23:1 24:1 26:1 27:1 28:2 29:-3 30:-3 31:3 32:1 33:1 35:-2 36:-2 38:-2 39:-3
explicit 3,2,1,0 | -1 -2 -3 ; 1 -2 -3 ; 2 -3 ; 3 | 1:2 2:1 3:-3 4:3 5:-2 6:-2 7:1 8:-2 9:-2 10:1 11:1 12:-3 13:2 14:-1 15:-1 16:3 17:-1 18:-1 19:2 20:-3 21:-3 22:3 23:-1 24:-1 26:-1 27:-1 28:2 29:-3 30:-3 31:3 32:-1 33:-1 35:-2 36:-2 38:-2 39:-3
((1, 'x', (2, 'x', 'x')), (1, 2, 3)) 0,1,2,3 | 3 ; 1 -3 ; -1 2 -3 ; -1 -2 -3 | 1:1 2:2 3:3 4:1 5:-2 6:-1 7:1 8:3 9:3 10:1 11:1 12:3 13:-2 14:-1 15:-1 16:-1 17:-1 18:-1 19:2 20:-1 21:-1 22:-1 23:-1 24:-1 26:3 27:3 28:2 29:3 30:3 31:-2 32:-1 33:-1 35:3 36:3 38:3 39:3
((1, 'x', (2, 'x', 'x')), (1, 2, 3)) 0,1,3,2 | 3 ; 1 -3 ; -1 -2 -3 ; -1 2 -3 | 1:1 2:-2 3:3 4:1 5:2 6:-1 7:1 8:3 9:3 10:1 11:1 12:3 13:2 14:-1 15:-1 16:-1 17:-1 18:-1 19:-2 20:-1 21:-1 22:-1 23:-1 24:-1 26:3 27:3 28:-2 29:3 30:3 31:2 32:-1 33:-1 35:3 36:3 38:3 39:3
((1, 'x', (2, 'x', 'x')), (1, 2, 3)) 0,2,3,1 | 3 ; -1 2 -3 ; -1 -2 -3 ; 1 -3 | 1:-2 2:-1 3:3 4:2 5:3 6:2 7:2 8:2 9:1 10:-1 11:-1 12:3 13:-2 14:3 15:3 16:-2 17:1 18:1 19:-2 20:-2 21:-2 22:1 23:3 24:3 26:3 27:1 28:-2 29:-1 30:3 31:1 32:2 33:1 35:3 36:1 38:-1 39:3
