# minimum-size (304) degree-3 F_2 certificate of Tucker on S^2: one violating partial labeling per line, as (free index, label) pairs
0:-2 1:-2
0:-2 1:-2 6:1
0:-2 1:-2 10:1
0:-2 1:-1 6:-1
0:-2 1:-1 6:2
0:-2 1:-1 10:1
0:-2 1:1 6:1
0:-2 1:1 10:-2
0:-2 1:1 10:-1
0:-2 3:1 4:-2
0:-2 3:1 12:2
0:-2 3:2 4:-1
0:-2 3:2 12:1
0:-2 4:-2
0:-2 4:-2 7:1
0:-2 4:-1 7:1
0:-2 4:1 7:-2
0:-2 4:1 7:-1
0:-2 6:1 9:2
0:-2 6:2 9:1
0:-2 7:-2 10:1
0:-2 7:-1 10:1
0:-2 7:1 10:-2
0:-2 7:1 10:-1
0:-2 9:1 12:2
0:-2 9:2 12:1
0:-1 1:-2 10:2
0:-1 1:-1 6:-2
0:-1 1:-1 10:2
0:-1 1:2 6:1
0:-1 1:2 10:-2
0:-1 1:2 10:-1
0:-1 3:1 4:-2
0:-1 3:1 12:2
0:-1 3:2 4:-1
0:-1 3:2 12:1
0:-1 4:-2 7:2
0:-1 4:-1
0:-1 4:-1 7:2
0:-1 4:2 7:-2
0:-1 4:2 7:-1
0:-1 6:1
0:-1 6:1 9:2
0:-1 6:2 9:1
0:-1 7:-2 10:2
0:-1 7:-1 10:2
0:-1 7:2 10:-2
0:-1 7:2 10:-1
0:-1 9:1 12:2
0:-1 9:2 12:1
0:1 1:-2 6:-2
0:1 1:1 6:-2
0:1 1:1 10:2
0:1 1:2 6:-1
0:1 1:2 6:2
0:1 1:2 10:1
0:1 3:-2 4:-2
0:1 3:-2 12:2
0:1 3:-1 4:-2
0:1 3:-1 12:2
0:1 3:2 4:1
0:1 3:2 4:2
0:1 3:2 12:-2
0:1 3:2 12:-1
0:1 4:1
0:1 4:1 7:2
0:1 4:2 7:1
0:1 6:-2 9:2
0:1 6:-1
0:1 6:-1 9:2
0:1 6:2 9:-2
0:1 6:2 9:-1
0:1 7:1 10:2
0:1 7:2 10:1
0:1 9:-2 12:2
0:1 9:-1 12:2
0:1 9:2 12:-2
0:1 9:2 12:-1
0:2 1:-1 6:-2
0:2 1:1 10:2
0:2 1:2
0:2 1:2 6:1
0:2 1:2 10:1
0:2 3:-2 4:-1
0:2 3:-2 12:1
0:2 3:-1 4:-1
0:2 3:-1 12:1
0:2 3:1 4:1
0:2 3:1 4:2
0:2 3:1 12:-2
0:2 3:1 12:-1
0:2 4:1 7:2
0:2 4:2
0:2 4:2 7:1
0:2 6:-2 9:1
0:2 6:-1 9:1
0:2 6:1 9:-2
0:2 6:1 9:-1
0:2 7:1 10:2
0:2 7:2 10:1
0:2 9:-2 12:1
0:2 9:-1 12:1
0:2 9:1 12:-2
0:2 9:1 12:-1
1:-2 2:-1 6:-2
1:-2 2:1 10:2
1:-2 2:2
1:-2 2:2 6:1
