1834800 non-violating size-3 partial labelings in 808 full-group orbit types [43s]
type sizes: [(2304, 250), (4608, 181), (1152, 149), (576, 127), (288, 47), (9216, 16), (768, 11), (96, 6), (192, 6), (384, 5), (144, 4), (1536, 4), (72, 2)]
  type    0 size      72 removed      8 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-E nonsimplex mags=(1, 1, 1) 01:eq 02:ne 12:eq]
  type    1 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-E nonsimplex mags=(1, 1, 2) 01:eq]
  type    2 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-E nonsimplex mags=(1, 1, 2) 02:eq]
  type    3 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-E nonsimplex mags=(1, 1, 2) 02:ne]
  type    4 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-E nonsimplex mags=(1, 2, 3) ]
  type    5 size      72 removed      8 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type    6 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type    7 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type    8 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type    9 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type   10 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   11 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type   12 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 1, 2) 02:eq]
  type   13 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type   14 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type   15 size    4608 removed    512 orbit-cols -> solution (rank 94060)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type   16 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type   17 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:ne 12:eq]
  type   18 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
  type   19 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type   20 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 2) 02:ne]
  type   21 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type   22 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 2, 2) 12:ne]
  type   23 size    4608 removed    512 orbit-cols -> solution (rank 94057)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type   24 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EEE simplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   25 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EEE simplex mags=(1, 1, 2) 01:eq]
  type   26 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EEE simplex mags=(1, 1, 2) 02:eq]
  type   27 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EEE simplex mags=(1, 2, 2) 12:eq]
  type   28 size    4608 removed    512 orbit-cols -> NO solution (rank 94053)  [ranks=(1, 2, 3) edges=EEE simplex mags=(1, 2, 3) ]
  type   29 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   30 size    2304 removed    256 orbit-cols -> solution (rank 94044)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type   31 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type   32 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type   33 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type   34 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type   35 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
  type   36 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type   37 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 1) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type   38 size    2304 removed    256 orbit-cols -> solution (rank 94060)  [ranks=(1, 2, 1) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type   39 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   40 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type   41 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EE- nonsimplex mags=(1, 1, 2) 02:eq]
  type   42 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type   43 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type   44 size    4608 removed    512 orbit-cols -> solution (rank 94058)  [ranks=(1, 2, 4) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type   45 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type   46 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:ne 12:eq]
  type   47 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
  type   48 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type   49 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 1, 2) 02:ne]
  type   50 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type   51 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 2, 2) 12:ne]
  type   52 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type   53 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EEE simplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   54 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EEE simplex mags=(1, 1, 2) 01:eq]
  type   55 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EEE simplex mags=(1, 1, 2) 02:eq]
  type   56 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=EEE simplex mags=(1, 2, 2) 12:eq]
  type   57 size    4608 removed    512 orbit-cols -> NO solution (rank 94047)  [ranks=(1, 2, 4) edges=EEE simplex mags=(1, 2, 3) ]
  type   58 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   59 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type   60 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 1, 2) 02:eq]
  type   61 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type   62 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type   63 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 3) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type   64 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type   65 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
  type   66 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type   67 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type   68 size    2304 removed    256 orbit-cols -> solution (rank 94061)  [ranks=(1, 2, 2) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type   69 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 3) edges=-EE nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   70 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 3) edges=-EE nonsimplex mags=(1, 1, 2) 01:eq]
  type   71 size    1152 removed    128 orbit-cols -> solution (rank 94040)  [ranks=(1, 1, 3) edges=-EE nonsimplex mags=(1, 1, 2) 01:ne]
  type   72 size    2304 removed    256 orbit-cols -> solution (rank 94047)  [ranks=(1, 1, 3) edges=-EE nonsimplex mags=(1, 1, 2) 02:eq]
  type   73 size    2304 removed    256 orbit-cols -> solution (rank 94059)  [ranks=(1, 1, 3) edges=-EE nonsimplex mags=(1, 2, 3) ]
  type   74 size      96 removed     12 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 1) edges=--- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   75 size     576 removed     64 orbit-cols -> solution (rank 94061)  [ranks=(1, 1, 1) edges=--- nonsimplex mags=(1, 1, 2) 01:eq]
  type   76 size     192 removed     24 orbit-cols -> solution (rank 94063)  [ranks=(1, 1, 1) edges=--- nonsimplex mags=(1, 2, 3) ]
  type   77 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 4) edges=-EE nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type   78 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 4) edges=-EE nonsimplex mags=(1, 1, 2) 01:eq]
  type   79 size    1152 removed    128 orbit-cols -> solution (rank 94040)  [ranks=(1, 1, 4) edges=-EE nonsimplex mags=(1, 1, 2) 01:ne]
  type   80 size    2304 removed    256 orbit-cols -> solution (rank 94041)  [ranks=(1, 1, 4) edges=-EE nonsimplex mags=(1, 1, 2) 02:eq]
  type   81 size    2304 removed    256 orbit-cols -> solution (rank 94057)  [ranks=(1, 1, 4) edges=-EE nonsimplex mags=(1, 2, 3) ]
  type   82 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 3) edges=--E nonsimplex mags=(1, 1, 1) 01:eq 02:ne 12:eq]
  type   83 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 3) edges=--E nonsimplex mags=(1, 1, 2) 01:eq]
  type   84 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 3) edges=--E nonsimplex mags=(1, 1, 2) 02:eq]
  type   85 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 3) edges=--E nonsimplex mags=(1, 2, 2) 12:eq]
